transaction_id,user_id,transaction_date,region,product_category,sale_amount,status,city,state,age,subscription,raw_timestamp,email,username,price,quantity,store_id,product_name,discount_pct,customer_segment
T000522,U00042,2024-06-25,East,Books,343.96,Active,Los Angeles,WA,60.0,Standard,2023-03-02 15:15:00,useru00042@yahoo.com,user_318,369.57,6,S008,Product_161,0.3,Home Office
T000738,U00498,2023-12-05,Central,Books,3729.19,Active,Los Angeles,NY,65.0,Basic,2024-02-10T18:59:00,useru00498@outlook.com,user_362,649.9,5,S004,Product_295,0.44,Corporate
T000741,U00028,2023-01-29,West,Beauty,542.11,Active,Chicago,CO,36.0,Standard,06/25/2024 22:38:00,useru00028@outlook.com,user_347,2409.79,7,S013,Product_041,0.46,Consumer
T000661,U00500,2024-03-31,South,Books,4639.74,Churned,Los Angeles,NY,49.0,Standard,2023-11-08 17:08:00,useru00500@yahoo.com,user_183,1844.93,8,S009,Product_192,,Consumer
T000412,U00489,2023-05-27,West,Sports,2158.38,Churned,New York,AZ,21.0,Premium,10/22/2023 08:31:00,useru00489@gmail.com,user_133,1884.9,11,S005,Product_073,0.05,Home Office
T000679,U00169,2024-10-12,West,Furniture,3048.32,Active,Houston,GA,47.0,Premium,2023-08-23 10:54:00,,user_359,1852.06,12,S014,Product_203,0.22,Home Office
T000627,U00146,2023-12-22,East,Toys,4812.53,Active,Los Angeles,CO,20.0,Premium,07/11/2024 12:28:00,useru00146@outlook.com,user_337,2335.09,7,S013,Product_040,,Home Office
T000514,U00299,2024-10-03,South,Toys,3158.7,Pending,New York,NV,22.0,Premium,2023-03-25T05:05:00,useru00299@gmail.com,user_352,,6,S011,Product_272,0.1,Home Office
T000860,U00298,2023-07-01,Central,Clothing,3367.79,Inactive,Phoenix,TX,46.0,Premium,2024-12-20 10:56:00,useru00298@gmail.com,user_235,2305.53,14,S014,Product_158,0.31,Home Office
T000137,U00300,2023-09-17,West,Furniture,2827.7,,Los Angeles,OR,63.0,Basic,07/24/2024 15:11:00,useru00300@yahoo.com,user_158,1936.62,3,S014,Product_061,0.37,Home Office
T000812,U00202,2024-04-08,South,Furniture,4238.05,Active,Los Angeles,AZ,59.0,Free,2023-05-14T08:04:00,useru00202@yahoo.com,user_227,2111.55,5,S008,Product_240,0.41,Home Office
T000077,U00216,2024-01-10,East,Home & Kitchen,3816.0,Churned,Chicago,CA,52.0,Premium,02/10/2023 01:50:00,useru00216@outlook.com,user_393,1756.02,9,S009,Product_079,0.14,Home Office
T000637,U00166,2023-12-15,East,Sports,3170.76,Pending,New York,NY,33.0,Standard,06/21/2024 19:24:00,useru00166@outlook.com,user_256,1727.45,7,S008,Product_226,0.36,Corporate
T000862,U00189,2023-09-22,South,Home & Kitchen,4793.36,Inactive,Chicago,GA,62.0,Standard,2023-09-09 01:44:00,useru00189@outlook.com,user_380,1813.07,8,S009,Product_003,0.19,Home Office
T000939,U00174,2023-08-02,East,Furniture,645.14,Churned,Portland,GA,36.0,Premium,07/27/2023 22:48:00,useru00174@outlook.com,user_53,209.08,14,S011,Product_215,0.48,Home Office
T000900,U00405,2023-03-21,West,Furniture,181.56,Churned,Houston,AZ,15.0,Basic,11/08/2024 06:09:00,useru00405@yahoo.com,user_66,559.97,15,S007,Product_052,0.07,Home Office
T000281,U00155,2024-09-17,Central,Clothing,,Active,Chicago,OR,40.0,Standard,2023-08-27T19:50:00,useru00155@yahoo.com,,1552.43,11,S011,Product_014,0.23,Consumer
T000884,U00348,2023-01-08,East,Books,1823.16,Inactive,Chicago,CA,70.0,Standard,2023-05-21 20:57:00,useru00348@gmail.com,user_382,1545.88,4,S010,Product_140,0.21,Corporate
T000762,U00091,2024-02-12,East,Sports,2175.93,Churned,Phoenix,CA,19.0,Standard,2023-06-10 06:57:00,useru00091@gmail.com,user_277,1829.07,15,S003,Product_237,0.37,Consumer
T000320,U00251,2023-11-06,Central,Home & Kitchen,3267.46,Pending,Houston,NY,64.0,Standard,2024-01-27T08:40:00,useru00251@gmail.com,user_43,1605.32,4,S001,Product_294,0.49,Home Office
T000550,U00031,2023-01-11,West,Books,1428.1,Active,Phoenix,NV,51.0,Free,2023-12-29 07:09:00,useru00031@yahoo.com,user_88,2063.67,10,S001,Product_083,0.05,Corporate
T000175,U00362,2024-04-05,Central,Clothing,2623.85,Churned,Chicago,GA,54.0,Basic,2024-01-25 01:49:00,useru00362@outlook.com,user_77,365.8,1,S007,Product_158,0.15,Corporate
T000372,U00146,2023-01-19,Central,Electronics,4559.1,Churned,Houston,OR,17.0,Free,2023-02-10 10:41:00,useru00146@gmail.com,user_213,690.31,7,S002,Product_285,0.39,Consumer
T000528,U00137,2024-07-23,East,Furniture,807.72,Pending,Denver,AZ,27.0,Premium,,useru00137@outlook.com,user_344,1017.2,1,S007,Product_055,0.37,Consumer
T000211,U00023,2023-02-11,South,Electronics,2134.23,Churned,Chicago,NY,43.0,Premium,01/13/2023 22:46:00,useru00023@gmail.com,user_123,231.37,5,S003,Product_236,0.43,Consumer
T000236,U00173,2023-10-07,West,Toys,2141.26,Active,Atlanta,WA,47.0,Basic,07/06/2024 10:12:00,useru00173@outlook.com,user_344,,12,S009,Product_096,0.29,Home Office
T000102,U00115,2023-09-16,Central,Books,3566.58,Active,Boise,OR,69.0,Premium,2024-04-22T09:43:00,useru00115@yahoo.com,user_4,1657.58,6,S009,Product_145,0.15,Consumer
T000864,U00323,2023-11-02,West,Electronics,1025.9,Inactive,Los Angeles,GA,55.0,Free,03/09/2023 14:10:00,useru00323@gmail.com,user_213,1629.95,14,S005,Product_270,0.16,Home Office
T000903,U00040,2023-07-24,Central,Books,2881.92,Active,New York,NV,53.0,Standard,2023-10-05T12:01:00,useru00040@yahoo.com,user_320,1938.74,15,S011,Product_278,,Home Office
T000948,U00041,2023-11-28,Central,Clothing,4277.51,Churned,Phoenix,NY,28.0,Standard,04/11/2023 18:43:00,useru00041@gmail.com,user_156,,15,S009,Product_285,,Consumer
T000347,U00274,2024-05-19,East,Sports,1929.29,Inactive,Houston,NV,64.0,Standard,,useru00274@gmail.com,user_243,,6,S006,Product_072,0.15,Home Office
T000140,U00103,2024-06-14,West,Clothing,4596.7,Pending,Austin,GA,52.0,Free,2023-10-11 07:38:00,useru00103@yahoo.com,user_134,1268.06,9,S005,Product_175,0.47,Corporate
T000622,U00241,2024-07-01,West,Home & Kitchen,4526.16,Inactive,Austin,GA,25.0,Premium,06/15/2023 20:05:00,useru00241@outlook.com,user_94,487.5,7,S003,Product_294,0.27,Corporate
