customer_id,customer_name,email,phone,city,region,preferred_category,priority_tier,total_orders,total_amount,loyalty_tier,registration_date,is_active,last_updated
U1000,Amit Singh,amit.singh45@email.com,9362950628,Mumbai,West,Furniture,High,8,79769.41,Platinum,2022-08-17,Y,2024-01-01
U1001,Vijay Singh,vijay.singh21@email.com,9734036506,Coimbatore,South,Clothing,Low,5,37417.99,Gold,2023-03-09,Y,2024-01-01
U1002,Aarav Patel,aarav.patel39@email.com,9642621108,Bhubaneswar,East,Toys,Low,4,12401.26,Silver,2023-09-09,Y,2024-01-01
U1003,Rohan Mehta,rohan.mehta63@email.com,9336696312,Coimbatore,South,Books,High,2,22510.46,Gold,2023-04-05,Y,2024-01-01
U1004,Divya Sharma,divya.sharma99@email.com,9553778756,Chennai,South,Electronics,High,1,3975.62,Bronze,2022-12-15,Y,2024-01-01
U1005,Arjun Mehta,arjun.mehta23@email.com,9199585092,Chandigarh,North,Books,High,4,31735.1,Gold,2023-01-25,Y,2024-01-01
U1006,Myra Kapoor,myra.kapoor43@email.com,9966647391,Ranchi,East,Furniture,High,2,18265.1,Silver,2022-02-14,N,2024-01-01
U1007,Rohan Singh,rohan.singh20@email.com,9692749116,Kochi,South,Books,High,4,14080.16,Silver,2022-10-28,Y,2024-01-01
U1008,Karan Mehta,karan.mehta15@email.com,9810026086,Kolkata,East,Books,High,3,12260.24,Silver,2022-08-22,Y,2024-01-01
U1009,Aditya Rao,aditya.rao58@email.com,9398471886,Mumbai,West,Clothing,High,1,4152.96,Bronze,2023-04-10,Y,2024-01-01
U1010,Sai Kapoor,,9819595113,Hyderabad,South,Toys,Low,4,50374.58,Platinum,2022-10-01,Y,2024-01-01
U1011,Nikhil Agarwal,nikhil.agarwal78@email.com,9882893941,Bhubaneswar,East,Furniture,Medium,4,49697.58,Gold,2022-09-08,Y,2024-01-01
U1012,Sneha Malhotra,sneha.malhotra91@email.com,9838908273,Patna,East,Electronics,High,2,9844.9,Silver,2023-07-25,Y,2024-01-01
U1013,Deepak Bose,,9982403818,Delhi,North,Electronics,Low,13,96105.32,Platinum,2022-02-02,Y,2024-01-01
U1014,Riya Reddy,riya.reddy37@email.com,9709004943,Delhi,North,Clothing,High,4,29298.08,Gold,2022-11-19,Y,2024-01-01
U1015,Amit Iyer,amit.iyer92@email.com,9592688426,Guwahati,East,Books,Low,3,14358.18,Silver,2022-05-27,Y,2024-01-01
U1016,Arjun Rao,arjun.rao78@email.com,9382116655,Coimbatore,South,Toys,Low,4,44998.47,Gold,2023-08-22,N,2024-01-01
U1017,Shreya Pandey,shreya.pandey56@email.com,9335493870,Guwahati,East,Clothing,Low,6,41723.95,Gold,2022-05-22,N,2024-01-01
U1018,Aditya Verma,aditya.verma29@email.com,9773715057,Delhi,North,Electronics,Medium,1,429.82,Bronze,2022-06-13,N,2024-01-01
U1019,Nikhil Patel,nikhil.patel58@email.com,9739830322,Surat,West,Furniture,High,4,26695.19,Gold,2023-04-25,Y,2024-01-01
U1020,Rohan Sharma,rohan.sharma97@email.com,9676567501,Bengaluru,South,Clothing,Low,5,28592.37,Gold,2022-10-01,Y,2024-01-01
U1021,Vihaan Nair,vihaan.nair30@email.com,9587182120,Surat,West,Furniture,High,8,47470.2,Gold,2022-01-04,Y,2024-01-01
U1022,Rahul Joshi,rahul.joshi23@email.com,9771410971,Nagpur,West,Toys,Low,4,20586.88,Gold,2022-11-02,Y,2024-01-01
U1023,Arjun Kapoor,arjun.kapoor79@email.com,9936043811,Jaipur,North,Books,High,9,84550.45,Platinum,2023-06-28,Y,2024-01-01
U1024,Nikhil Bose,nikhil.bose12@email.com,9220117054,Guwahati,East,Toys,High,5,26086.09,Gold,2023-01-07,Y,2024-01-01
U1025,Krishna Verma,krishna.verma82@email.com,9184564737,Pune,West,Books,Low,5,28566.25,Gold,2022-03-29,N,2024-01-01
U1026,Meera Patel,meera.patel26@email.com,9237859287,Agra,North,Grocery,High,6,26951.4,Gold,2023-11-07,N,2024-01-01
U1027,Rohan Joshi,rohan.joshi77@email.com,9751325257,Hyderabad,South,Electronics,Medium,3,35790.52,Gold,2023-03-10,Y,2024-01-01
U1028,Tanvi Tiwari,tanvi.tiwari49@email.com,9528414718,Jaipur,North,Grocery,High,2,18148.44,Silver,2023-11-19,Y,2024-01-01
U1029,Sneha Pillai,sneha.pillai25@email.com,9366186631,Surat,West,Electronics,Low,6,42613.1,Gold,2022-08-19,Y,2024-01-01
U1030,Aadhya Sharma,aadhya.sharma80@email.com,9347083812,Ranchi,East,Books,Low,8,42820.52,Gold,2023-08-26,Y,2024-01-01
U1031,Aarav Patel,aarav.patel39@email.com,9172370545,Bengaluru,South,Furniture,Low,8,77901.46,Platinum,2022-02-02,Y,2024-01-01
U1032,Aditya Pillai,aditya.pillai45@email.com,9818309417,Pune,West,Books,Medium,4,24723.29,Gold,2023-05-13,Y,2024-01-01
U1033,Rohan Kumar,rohan.kumar83@email.com,9607526654,Agra,North,Toys,High,5,18868.57,Silver,2022-09-06,N,2024-01-01
U1034,Divya Gupta,divya.gupta22@email.com,9204078666,Bhubaneswar,East,Books,Low,4,13163.67,Silver,2023-11-06,N,2024-01-01
U1035,Myra Gupta,,9882839238,Guwahati,East,Electronics,High,3,19148.96,Silver,2022-02-25,Y,2024-01-01
U1036,Vivaan Malhotra,vivaan.malhotra23@email.com,9366992705,Hyderabad,South,Electronics,Low,6,53500.21,Platinum,2022-07-16,Y,2024-01-01
U1037,Rohan Shah,rohan.shah64@email.com,9297018781,Jaipur,North,Books,High,7,51228.36,Platinum,2022-10-13,N,2024-01-01
U1038,Krishna Patel,krishna.patel80@email.com,9205128697,Lucknow,North,Grocery,High,5,57092.81,Platinum,2022-02-21,Y,2024-01-01
U1039,Aditya Rao,aditya.rao62@email.com,9621453189,Bhubaneswar,East,Toys,High,6,81071.06,Platinum,2023-05-08,Y,2024-01-01
U1040,Nisha Malhotra,nisha.malhotra31@email.com,9506919288,Delhi,North,Toys,Medium,8,58874.89,Platinum,2022-01-03,N,2024-01-01
U1041,Ananya Shah,ananya.shah64@email.com,9847959430,Hyderabad,South,Furniture,High,5,24355.83,Gold,2023-07-24,N,2024-01-01
U1042,Arjun Mehta,arjun.mehta37@email.com,9162795957,Ahmedabad,West,Clothing,Medium,3,33779.64,Gold,2023-08-17,Y,2024-01-01
U1043,Vijay Bose,vijay.bose16@email.com,9727255918,Delhi,North,Clothing,Medium,1,12358.05,Silver,2023-05-04,Y,2024-01-01
U1044,Vivaan Pillai,vivaan.pillai33@email.com,9173574218,Bengaluru,South,Electronics,Low,10,83462.11,Platinum,2023-09-02,Y,2024-01-01
U1045,Deepak Rao,deepak.rao25@email.com,9711684318,Guwahati,East,Furniture,High,8,51539.48,Platinum,2022-09-10,Y,2024-01-01
U1046,Nikhil Patel,nikhil.patel94@email.com,9726713347,Kochi,South,Books,High,3,12908.86,Silver,2023-08-02,Y,2024-01-01
U1047,Tanvi Reddy,tanvi.reddy95@email.com,9869005091,Chennai,South,Books,Low,3,31438.78,Gold,2022-11-18,Y,2024-01-01
U1048,Ananya Malhotra,ananya.malhotra95@email.com,9793101194,Chennai,South,Furniture,Low,7,50780.94,Platinum,2022-11-04,N,2024-01-01
U1049,Aadhya Patel,aadhya.patel68@email.com,9766964667,Delhi,North,Books,High,5,74921.63,Platinum,2023-07-31,Y,2024-01-01
U1050,Aditya Tiwari,aditya.tiwari74@email.com,9384756779,Chennai,South,Electronics,Medium,3,26290.24,Gold,2022-05-16,Y,2024-01-01
U1051,Shreya Patel,shreya.patel57@email.com,9406002884,Chennai,South,Books,High,4,35715.04,Gold,2022-06-11,N,2024-01-01
