customer_id,customer_name,email,customer_type
1,Customer 1,customer1@example.com,VIP
2,Customer 2,customer2@example.com,Regular
3,Customer 3,customer3@example.com,Regular
4,Customer 4,customer4@example.com,VIP
5,Customer 5,customer5@example.com,Premium
6,Customer 6,customer6@example.com,Regular
7,Customer 7,customer7@example.com,Regular
8,Customer 8,customer8@example.com,Regular
9,Customer 9,customer9@example.com,VIP
10,Customer 10,invalid_email,Regular
11,Customer 11,customer11@example.com,VIP
12,Customer 12,customer12@example.com,VIP
13,Customer 13,customer13@example.com,VIP
14,Customer 14,customer14@example.com,Regular
15,Customer 15,customer15@example.com,VIP
16,Customer 16,customer16@example.com,Premium
17,Customer 17,customer17@example.com,Regular
18,Customer 18,customer18@example.com,Regular
19,Customer 19,customer19@example.com,Regular
20,Customer 20,invalid_email,Regular
21,Customer 21,customer21@example.com,Regular
22,Customer 22,customer22@example.com,VIP
23,Customer 23,customer23@example.com,VIP
24,Customer 24,customer24@example.com,Regular
25,Customer 25,customer25@example.com,VIP
26,Customer 26,customer26@example.com,Regular
27,Customer 27,customer27@example.com,VIP
28,Customer 28,customer28@example.com,VIP
29,Customer 29,customer29@example.com,VIP
30,Customer 30,invalid_email,VIP
31,Customer 31,customer31@example.com,Premium
32,Customer 32,customer32@example.com,Regular
33,Customer 33,customer33@example.com,Premium
34,Customer 34,customer34@example.com,VIP
35,Customer 35,customer35@example.com,Premium
36,Customer 36,customer36@example.com,Regular
37,Customer 37,customer37@example.com,Regular
38,Customer 38,customer38@example.com,VIP
39,Customer 39,customer39@example.com,Premium
40,Customer 40,invalid_email,Premium
41,Customer 41,customer41@example.com,Premium
42,Customer 42,customer42@example.com,Regular
43,Customer 43,customer43@example.com,Regular
44,Customer 44,customer44@example.com,Premium
45,Customer 45,customer45@example.com,Regular
46,Customer 46,customer46@example.com,Regular
47,Customer 47,customer47@example.com,Premium
48,Customer 48,customer48@example.com,Regular
49,Customer 49,customer49@example.com,Premium
50,Customer 50,invalid_email,Premium
